Class Decade,Date,Daytime/Nightime,Time,Class loc.,Location,Operator,Flight..,Direct/Stopover,Route,AC.Type,Registration,cn.ln,Aboard,Aboard.Passangers,Aboard.Crew,Fatalities,Fatalities.Passangers,Fatalities.Crew,Ground,Causes,Summary,Class time
2000s,05/30/2008,Daytime,9:40,Honduras,"Tegucigalpa, Honduras",TACA International Airlines,390,Direct,"San Salvador, El Salvador - Tegucigalpa, Honduras - Miami",Airbus A-320-233,EI-TAF,1374,136,131,5,3,2,1,2,Weather Conditions,"After making a missed approach and during the second attempt at landing at Toncontin Airport, the plane overran the runway, skidded across a street, struck cars and came to rest against an embankment. The runway was wet with rain from Tropical Storm Alma.",
2000s,06/10/2008,Nighttime,20:45,Sudan,"Khartoum, Sudan",Sudan Airways,548,Stopover,Aman - Damascus - Khartoum,Airbus A-310-324,ST-ATN,548,214,203,11,32,31,1,0,Weather Conditions,"While landing in poor weather, the plane skidded off the runway, hit navigation poles and burst into flames. The plane had flown from Amman via Damascus but been turned back once from Khartoum and forced to land in Port Sudan, on the Red Sea, because of bad weather, before being allowed to return to Khartoum. The accident was due to a long flaring distance (900 meters from R/W threshold) on a wet slippery runway without selecting Auto brake and with one deactivated engine reverse in such rainy conditions. The remaining available landing distance turned out to be too short to allow the captain to stop the aircraft before the end of the runway.",
2000s,07/06/2008,Nighttime,2:15,Mexico,"Saltillo, Mexico",USA Jet Airlines,199,Direct,"Hamilton, Ont, Can.- Shreveport, LA - Saltillo, Mexico",Douglas DC9-15F,N199US,47153/185,2,0,2,1,0,1,0,Mechanical Failure,"While attempting to land, the cargo plane, loaded with auto parts, and experiencing engine trouble, crashed splitting into four pieces and scattering debris across an area of about 600 meters in diameter. The pilot was killed and the copilot seriously injured.",
2000s,07/31/2008,Daytime,9:53,USA,"Owatonna, Minnesota",East Coast Jets,81,Direct,"Atlantic City, NJ- Owatonna,MN",British Aerospace BAe-125-800A,N818MV,258186,8,6,2,8,6,2,0,Human Error,"While attempting to land on Runway 30, the business jet landed 500 to 1000 feet down a 5,000 ft. runway, overran the runway, passed over a ditch and roadway, slid into a cornfield and broke up. One person survived the accident but died later. The pilots  were both working on insufficient sleep and displayed poor coordination with one another. The pilots failed to account for a wet runway and 8-knot tailwind when they touched down on the 5,500-foot runway, and they should have applied a braking system a full seven seconds earlier than they did.Realizing they were running out of runway, the pilots hit the throttles to try to take off again. Had the pilots hit the lift dump right after touchdown, or landed into the wind, the plane probably could have stopped safely on the runway. The accident was due to the captain's decision to attempt a go-around late in the landing roll with insufficient runway remaining. Contributing to the accident were the pilots' poor crew coordination and lack of cockpit discipline.; fatigue, which likely impaired both pilots' performance and failure of the FAA to require crew resource management training and standard operating procedures for Part 135 operators.",
2000s,08/20/2008,Daytime,14:45,Spain,"Madrid, Spain",Spanair,5022,Direct,"Madrid - Las Palmas, Canary Islands",McDonnell Douglas MD-82,EC-HFP ,53148/2072,172,166,6,154,148,6,0,Mechanical Failure,"The airliner crashed while attempting to takeoff. The plane was able to get slightly airborne before crashing into a ravine at the end of the runway. The plane took off without the crew extending  it's flaps and slats, but the pilots would not have known there was a problem because the alarm did not go off. Malware may have interfered with the warning  alarm software.",
2000s,08/24/2008,Nighttime,20:30,Kyrgyzstan,"Bishkek, Kyrgyzstan",Itek Air,IRC6895,Direct,"Bishkek - Tehran, Iran",Boeing B-737-219,EX-009,22088/676,90,83,7,68,67,1,0,Mechanical Failure,"The plane crashed shortly after taking off from Manas International Airport.  After 10 minutes, the crew reported a severe loss of cabin pressure and said they were returning when it crashed 6 miles from the airport. The Iran Aseman Airlines flight was being carried out by Itek Air. The forward left cabin door was not closed completely, and that the person who closed it was an engineer who was not listed among those (in the Cabin Attendant Manual) who were supposed to close the door.  A report concludes that the aircraft originally lost cabin pressure due to this.",
2000s,09/14/2008,Nighttime,3:15,Russia,"Perm, Russia",Aeroflot,SU821,Direct,Moscow - Perm,Boeing B-737-505,VP-BKO,25792/2353,88,82,6,88,82,6,0,Pilot Error,"The aircraft crashed into a ravine adjacent to railroad tracks and near an apartment building as it was approaching Perm for a landing. The plane was at 3,600 when contact was lost with the tower. Pilot error. The captain ""lost spatial orientation"" after he misread an altitude indicator on the instrument panel. The pilot  was determined to be intoxicated.",
2000s,01/01/2009,Nighttime,4:37,USA,"Lubock, Texas",Empire Airlines leased from FedEx,8284,Direct,Fort Worth - Lubbock,ATR-42-320,N902FX,175,2,0,2,2,0,2,0,Pilot Error,"Crashed while attempting to land. The probable cause of this accident was the flight crew's failure to monitor and maintain a minimum safe airspeed while executing an instrument approach in icing conditions, which resulted in an aerodynamic stall at low altitude. Contributing to the accident were 1) the flight crew's failure to follow published standard operating procedures in response to a flap anomaly, 2) the captain's decision to continue with the unstabilized approach, 3) the flight crew's poor crew resource management, and 4) fatigue due to the time of day in which the accident occurred and a cumulative sleep debt, which likely impaired the captain's performance.",
2000s,01/15/2009,Daytime,15:06,USA,"New York, New York",US Airways,1549,Direct,"New York, NY- Charlotte, NC",Airbus A320-214,N106US,1044,155,150,5,0,0,0,0,Mechanical Failure,"The plane was taking off from La Guardia Airport when both engines were disabled after striking a flock of geese. The crew was able to ditch the plane in the Hudson River, making a soft landing. All 150 passengers and crew of 5 made it out safely before the plane began to sink. No one was reported to be seriously injured.",
2000s,02/12/2009,Nighttime,22:17,USA,"Clarence Center, New York",Continental Connection/Colgan Air,3407,Direct,"Newark, N.J. - Buffalo, NY",Bombardier DHC-8-402 Q400,N200WQ,4200,49,44,5,49,44,5,1,Pilot Error,"The commuter plane crashed while attemptiong to land in rain and sleet, 6 miles northeast of Buffalo Niagara International Airport, were it was scheduled to land. Preliminary evidence suggests the crew selected the landing gear down and set the flaps 15 degrees. Immediately after selecting the flaps the stick shaker activated. The captain then pulled on the controls, slowing the airplane even further causing the plane to stall. Colgan Air officials acknowledged that both pilots apparently were not paying close attention to the aircraft's instruments and failed to follow the airline's procedures for handling an impending stall in the final minutes of the flight. The captain’s inappropriate response to the activation of the stick shaker, which led to an aerodynamic stall from which the airplane did not recover. Contributing to the accident were (1) the flight crew’s failure to monitor airspeed in relation to the rising position of the low-speed cue, (2) the flight crew’s failure to adhere to sterile cockpit procedures, (3) the captain’s failure to effectively manage the flight, and (4) Colgan Air’s inadequate procedures for airspeed selection and management during approaches in icing conditions.",
2000s,02/25/2009,Daytime,10:31,Netherlands,"Amsterdam, Netherlands",Turkish Airlines,1951,Direct,"Istanbul, Turkey - Amsterdam, Netherlands",  Boeing 737-8F2,TC-JGE,29789/1065,134,127,7,9,6,3,0,Mechanical Failure,The plane was on final approach to Runway 18R when it crashed 1 mile short of the runway into a field and broke in three. Nine people were killed and 55 injured. A faulty instrument caused the plane's autopilot to cut fuel to the engines prematurely. Pilots were late to notice warning signals and reacted inadequately.,
2000s,03/23/2009,Daytime,6:48,Japan,"Tokyo, Japan",FedEx,80,Direct,"Guangzhou, China - Tokyo, Japan",McDonnell Douglas MD-11,N526FE,48600/560,2,0,2,2,0,2,0,Pilot Error,"The fatigued pilot flying the cargo plane flared too late on landing. From his position in the cockpit he was then apparently unable to tell that the main gear had bounced and the tail was rising, so he pitched the plane down to bring the nose to the ground, instead of up to recover from the bounce. The plane bounced again, harder, lost   control, veered to the left, turned over, and was destroyed by fire.",
2000s,06/01/2009,Nighttime,0:15,Atlantic,"Atlantic Ocean, 570 miles northeast of Natal, Brazil",Air France,447,Direct,Rio de Janeiro - Paris,Airbus A330-203,F-GZCP,660,228,216,12,228,216,12,0,Pilot Error,"The Airbus went missing over the Atlantic Ocean on a flight from Rio de Janeiro to Paris, France. The plane departed from Rio de Janeiro-Galeao International Airport at 19:03 LT bound for Charles de Gaulle Airport in Paris. The last radio contact with the flight was at 01:33 UTC.  The aircraft left CINDACTA III radar coverage at 01:48 UTC, flying normally at FL350. The aircraft reportedly went through a thunderstorm with strong turbulence at 02:00 UTC. At 02:14 UTC an automated message was received indicating a failure of the electrical system. The plane carried 12 crew members and 216 passengers. The wreckage was finally discovered on April 3, 2011 using unmanned submarines.  Flight447 passed into clouds associated with a large system of thunderstorms, its speed sensors became iced over, and the autopilot disengaged. In the ensuing confusion, the pilots lost control of the airplane because they reacted incorrectly to the loss of instrumentation and then seemed unable to comprehend the nature of the problems they had caused. Neither weather nor malfunction doomed flight, nor a complex chain of error, but a simple but persistent mistake on the part of one of the pilots.    The crew did not realize the plane was in a stall, were insufficiently trained in flying manually, and never informed the passengers that anything was wrong before they plunged into the sea. The captain was on a rest break when the warnings began. The two co-pilots were facing faulty speed readings from unreliable sensors and repeated alarm signals, but fail to explain why the pilots responded the way they did. It's unclear why the co-pilot at the controls maintained a nose-up input - contrary to the normal procedure to come out of an aerodynamic stall. Normally, the nose should be pointed slightly downward to regain lift in such a stall, often caused because the plane is traveling too slowly. A basic maneuver for stall recovery, which pilots are taught at the outset of their flight training, is to push the yoke forward and apply full throttle to lower the nose of the plane and build up speed. The report confirms that external speed sensors obstructed by ice crystals produced irregular speed readings on the plane. Since the accident, Air France has replaced the speed monitors on all its Airbus A330 and A340 aircraft. The BEA said neither of the co-pilots at the controls had received recent training for manual aircraft handling, or had any high-altitude schooling in case of unreliable air speed readings. A stall warning sounded numerous times, and once for a full 54 seconds, but the crew made no reference to it in cockpit exchanges before the jet crashed.",
2000s,06/30/2009,Nighttime,1:51,Comoros,"Off Mitsamiouli, Comoros",Yemenia Airway,626,Direct,"Sana'a, Yemen - Moroni, Comoros",Airbus A310-324,7O-ADJ,535,153,142,11,152,141,11,0,Pilot Error,"The plane crashed into the Indian Ocean, 10 miles off the coast,while attempting a second approach to Hahaya Airport in Moroni. A 12 year old girl survived the accident. Crew error. The accident was due to inappropriate action by the crew during a non-stabilizing maneuver.",
2000s,07/15/2009,Daytime,11:33,Iran,"Near Qazvin, Iran",Caspian Airlines,RV-7908,Direct,"Tehran, Iran - Yerevan, Armenia",Tupolev 154M,EP-CPG,87A-748,168,153,15,168,153,15,0,Mechanical Failure,"The airliner crashed into a field 75 miles northwest of Tehran, 11 minutes after taking off from Imam Khomeini Airport. The plane exploded and disintegrated upon impact. Separation of a piece of the low pressure compressor from the No. 1 engine. Debris from that  hit the aircraft  body, disabling the fuel lines.",
2000s,07/24/2009,Nighttime,18:20,Iran,"Mashad, Iran",Aria Airlines,1525,Direct,Tehran - Mashad,Ilyushin Il-62M,UP-16208,1591525/257,153,138,15,16,3,13,0,Unknow,"While attempting to land, the plane skidded off the runway and crashed into a wall. Iran's Civil Aviation Organization stated the plane flew too fast during the approach and landing. The usual landing speed for an Il-62 would have been between 145 and 165 mph, however, it landed at a speed of 197 mph. Because of this, the airplane ran off the runway and collided with a wall.",
2000s,08/02/2009,Daytime,10:25,Indonesia,"Ampisibil Village, Indonesia",Merpati Nusantara Airlines,9760D,Direct,Jayapura - Oksibil,de Havilland Canada DHC-6 Twin Otter 300,PK-NVC,626,16,13,3,16,13,3,0,Weather Conditions,"Contact was lost with the aircraft 15 minutes after taking off. Debris was found in the Bintang mountains at an elevation of 9,300 feet. The crew did not maintain visual flight procedures when flying below lowest safe altitude, and the aircraft was flown into cloud in the vicinity of gap north west of Oksibil. The accident was consistent with controlled flight into terrain.",
2000s,08/04/2009,Daytime,14:30,Thailand,"Koh Samui, Thailand",Bangkok Airlines,226,Direct,Karabi - Koh Samui,ATR-72-212A,HS-PGL,670,72,68,4,1,0,1,0,Unknow,"The plane skidded off the runway and collided with an unused control tower, killing the pilot.",
2000s,08/11/2009,Daytime,11:14,Papua New Guinea,"Near Port Moresby, Papua New Guinea", Airlines  PNG,4684,Direct,Port Moreby - Kokoda,de Havilland Canada DHC-6 Twin Otter 300,P2-MCB,441,13,11,2,13,11,2,0,Weather Conditions,"The aircraft crashed on the eastern side of the Kokoda Gap, about 11 kms. southeast of Kokoda Airport. The aircraft impacted steep, heavily timbered terrain in a near-level altitude. Significant layers of clouds were in the area between the altitudes of 800 and 18,000 ft. with isolated showers and thunderstorms and embedded Cumulo Nimbus clouds.",
2000s,09/24/2009,Daytime,8:00,South Africa,"Merebank, South Africa",SA Airlink,8911,Direct,"Durban - Pietemaritburg, South Africa",British Aerospace Jetstream 41,ZS-NRM,41069,3,0,3,1,0,1,0,Pilot Error,"The aircraft was on a positioning flight when it suffered an engine failure on take off.  The crew declared an emergency but the plane crashed onto a vacant lot, slid though a  fence and broke up on the grounds of a school, 400 meters from the runway. Instead of shutting down the malfunctioning engine, the pilot switched off the left engine - which was serviceable.",
2000s,10/22/2009,Daytime,10:45,Netherlands,"Off Bonaire, Netherlands Antilles",Divi Divi Air,16,Direct,"Curacao - Bonaire, Netherlands Antilles",Britten-Norman BN-2A-8 Island,PJ-SUN,377,10,9,1,1,0,1,0,Mechanical Failure,"While on approach, the right engine failed and the pilot was not able to maintain altitude. The plane ditched into the ocean.Nine passengers were rescued but the pilot was not able to leave the sinking plane and died.",
2000s,11/28/2009,Daytime,8:16,China,"Shanghai, China",Avient Aviation,324,Direct,"Shanghai, China - Bishkek, Kyrgyzstan",McDonnell Douglas MD-11F,Z-BAV,48408/457,7,0,7,3,0,3,0,Unknow,"The cargo plane veered off the runway, crashed and burned after the tail struck the ground as it attempted to take off.",
2010s,01/22/2010,Nighttime,0:10,Alaska,"Off Sand Point, Alaska",Alaska Central Express,22,Direct,Sand Point - Anchorage,Beechcraft 1900C-1,N112AX ,UC-45,2,0,2,2,0,2,0,Mechanical Failure,The cargo plane crashed into the water shortly after taking off with a cargo of fish and mail.,
2010s,01/25/2010,Nighttime,2:35,Lebanon,"Off Na'ameh, Lebanon",Ethiopian Airlines,409,Direct,"Beirut, Lebanon - Addis Ababa, Ethiopia",Boeing 737-8AS,ET-ANB,29935/1061,90,82,8,90,82,8,0,Pilot Error,"The passenger plane disappeared off radar shortly after taking off from Rafik Hariri International Airport in stormy weather and crashed into the Mediterranean Sea, two miles west of  the village of Na'ameh, Lebanon. The flight crew's mismanagement of the aircraft's speed, altitude, headings and attitude through inconsistent flight control inputs resulting in a loss of control. The flight crew failure to abide by CRM principles of mutual support and calling deviations hindered any timely intervention and correction.",
2010s,04/10/2010,Daytime,10:41,Russia,"Smolensk, Russia",Military - Polish Air Force, PLF 101,Direct,"Warsaw, Poland - Smolensk Russia",Tupolev 154M,101,90A837,96,88,8,96,88,8,0,Pilot Error,"The military jet crashed and was destroyed while attempting to land in dense fog and poor visibility. The crew requested permission to carry out a trial approach to a decision height of 100 m and told the controller to expect a go-around. A few seconds before impact, the autopilot and autothrottle were disconnected in order to execute a go-around. The airplane impacted upsloping terrain at a distance of about 1,100 meters from the runway and 40 m to the left of extended centerline. The immediate cause of the accident was the failure of the crew to make a timely decision to proceed to an alternate airport although they were not once timely informed of the actual weather conditions at Smolensk, which were significantly lower than the established airport minima. Descent without visual contact with ground references to an altitude much lower than minimum descent altitude for a go-around,  in order to establish visual flight. No reaction to the numerous TAWS warnings which led to controlled flight into terrain, aircraft destruction and death of the crew and passengers.  Polish president Lech Kaczynski and his wife were among the dead.",
2010s,04/13/2010,Nighttime,23:15,Mexico,"Monterey, Mexico",Airborne Freight Company Union,302,Stopover,Mexico City - Monterey - Los Angeles,Airbus A300B4-203F,XA-TUE,78,5,0,5,5,0,5,2,Unknow,"The cargo plane was making a stop at Monterey on its way to Los Angeles when it crashed 1.5 km from the airport, while making a final approach to General Mariano Escobedo International Airport. The aircraft was cleared to land on Runway 11, when the crew decided to abort the landing. The plane then crashed onto Avenida Miguel Aleman roadway, striking a car and killing the driver. The plane then broke apart and burst into flames.",
2010s,05/12/2010,Daytime,6:10,Libya,"Tripoli, Libya",Afriqiyah Airways,771,Direct,"Johannesburg, South Africa - Tripoli, Libya",Airbus A330-202,5A-ONG,1024,104,93,11,103,92,11,0,Pilot Error,"The aircraft crashed and disintegrated one-half a mile from the runway while attempting to land at Tripoli International Airport. Ninety-two passenger and a crew of 11 were killed. A 8 year old Dutch boy was the sole survivor. Failure of the two pilots to coordinate their actions during the initial approach, with the final approach attempted below the minimum descent altitude and the runway not visible. Realizing that the approach had been misjudged, the co-pilot, who was in command, attempted to pull the plane up in order to perform a new landing, which disabled the auto pilot, but the captain had retaken control of the aircraft without informing his co-pilot, leading to the crash. Lack of coordination between the two pilots and the inappropriate application of flight control inputs during the attemped go-around. The length of the trip and crew fatigue was a factor.",
2010s,05/22/2010,Daytime,6:10,India,"Mangalore, India",Air India Express,812,Direct,"Dubai, UAE - Mangalore, India",Boeing 737-8HG,VT-AXV,36333/2481 ,166,160,6,159,153,6,0,Pilot Error,"While attempting to land at Mangalore Airport, the plane overran the runway, slid down a ravine into a wooded valley, and burst into flames. Despite being warned by the aircraft computers to ""pull up, the captain did not heed the warning. He also ignored the co-pilot telling him to go-around,",
2010s,06/23/2010,Nighttime,5:59,Canada,"Quebec, Canada",Aéropro,201,Direct,Quebec -Sept-Îles,Beechcraft A100 King Air,C-FGIN,B-164,7,5,2,7,5,2,0,Human Error,"The pilot reported a problem with his right engine after take off and tried to return for an emergency landing but crashed into a private field and exploded, approximately 1 mile north of Jean-Lesage International Airport. The aircraft took off with reduced engine power not recommended by the manufacturer. Once the right engine stopped working, the pilots didn't rotate the engine's blades to be parallel with the flow of air, a procedure called feathering that helps to reduce drag. The crew were not properly trained for emergencies, and mechanical defects were not being logged. The company’s license was revoked.",
2010s,07/28/2010,Daytime,9:45,Pakistan,"Islamabad, Pakistan",Airblue,202,Direct,Karachi - Islamabad,Airbus A321-231,AP-BJB,1218,152,146,6,152,146,6,0,Human Error,"The passenger plane crashed in the Margalla hills while attempting to land at Benazir Bhutto International Airport. The tower lost contact with the plane as it was about to land in poor weather conditions. Controlled Flight into Terrain, in which aircrew failed to display superior judgment and professional skills in a self created unsafe environment. In their pursuit to land in inclement weather, they committed serious violations of procedures and breaches of flying discipline, which put the aircraft in an unsafe condition over dangerous terrain at low altitude.",
2010s,08/03/2010,Nighttime,1:19,Russia,"Igarka, Russia",Katekavia Airline,KYU9357,Direct,Karsnoyarsk - Igarka,  Antonov An-24 V,RA-46524,47310003,15,12,3,12,11,1,0,Pilot Error,"The plane crashed while on approach to Igarka Airport in adverse weather conditions. Crew tried to land in below weather minimums. Execution of an approach in conditions worse than the weather minima of the airfield, aircraft, and pilot. The failure of the crew to take a timely decision for a missed approach when the plane descended below the minimum safe height in the absence of reliable visual contact with approach lights and runway lights. This caused the aircraft to strike trees and the ground in controlled flight.",
2010s,08/24/2010,Daytime,7:30,Nepal,"Bastipur, Nepal",Agni Air ,101,Direct,Kathmandu - Lukla,Dornier 228-101,9NAHE,732,14,11,3,14,11,3,0,Mechanical Failure,"The crew decided to divert to Simara Airport due to poor weather conditions at Kathmandu. Contact with ATC was lost when the plane crashed into a hillside at 9,000 ft., 20 miles SSW of Kathmandu. The crew members became disoriented after they lost contact with the ATC due to failure of both generators and the exhaustion of the backup battery.",
2010s,09/03/2010,Nighttime,19:39,United Arab Emirates,"Dubai, United Arab Emirates",United Parcel Service- UPS,6,Direct,"Dubai - Bonn, Germany",Boeing B747-44AF,N571UP,35668/1393,2,0,2,2,0,2,0,Mechanical Failure,"The cargo plane crashed 10 km North of Dubai Airport shortly after taking off. The plane was attempting to return to the airport when the accident happened. The data recorder indicated there was smoke or fire coming from the cargo area. The cargo plane's pilots struggled to see their primary flight instrument displays as thick smoke filled the cockpit. The pilots could  not manually control the plane’s elevation and direction, probably because cables running above the likely location of a cargo fire lost tension. The fire began near where a shipment of lithium batteries were stored.",
2010s,09/13/2010,Daytime,10:32,Venezuela,"Puerto Ordaz, Venezuela",Conviasa Airline,2350,Direct,Porlamar - Puerto Ordaz,ATR 42-320,YV-1010,371,51,47,4,17,14,3,0,Mechanical Failure,"While en route, the passenger plane crashed and burned in a storage yard of a steel foundry, six miles SE of Puerto Ordaz Airport, after the pilot reported having problems controlling the aircraft.",
2010s,11/04/2010,Daytime,17:45,Cuba,"Near Guasimal, Cuba",Aerocaribbean,883,Direct,Santiago de Cuba- Havana,ATR-72-212,CU-T1549,459,68,61,7,68,61,7,0,Weather Conditions,"While the plane was en route, the pilot radioed an emergency message. Contact was lost and the plane crashed into mountainous terrain. All 61 passenger and 7 crew were killed.Icing  in combination with crew errors in handling the situation.",
2010s,11/28/2010,Nighttime,1:53,Pakistan,"Karachi, Pakistan",Sun Way,4412,Direct,Karachi - Khartoum,Ilyushin Il-76TD,4L-GNI,43452546,8,0,8,8,0,8,4,Mechanical Failure,"The cargo plane, carrying 31 tons of relief supplies for Sudan, crashed into buildings of the Naval Housing Colony while attempting to return to runway 07R shortly after taking off from Karachi. The cause of the occurrence was uncontained failure of the 2nd stage disk of LP compressor of Engine # 4 due to fatigue fracture which resulted in in-flight fire and damage to adjacent areas of right wing / flaps to an extent that flight could not be sustained.",
2010s,12/04/2010,Daytime,14:49,Russia,"Moscow, Russia",Dagestan Airlines,372,Direct,"Moscow -Makhachkala, Dagestan",Tupolev Tu-154M,RA-85744,92A-927,169,160,9,2,2,0,0,Pilot Error,"About 80km out from Moscow, the crew reported losing all three engines, electrical power and navigation equipment. They decided to divert back to Moscow. Visual contact with the ground could not be established until breaking through the overcast at 500 feet. The aircraft landed, skidded off the runway and broke into three pieces. Unintentional shutdown of supply tank booster pumps when the flight engineer carried out manual fuel transfer procedures during the climb, leading to instantaneous oscillation of fuel flow to the engines and their speed, a shut down of the outer engines and power supply problems in the aircraft for 2 minutes 23 seconds due to the failure of three generators. Failure to use all the possibilities by the crew to restore engine power;",
2010s,01/01/2011,Daytime,15:25,Russia,"Surgut, Russia",Kogalmavia,348,Direct,Surgut - Moscow,Tupolev Tu-154B-2,RA-85588,83A588,124,116,8,3,3,0,0,Mechanical Failure,The passenger jet caught fire and exploded as it taxied for take off. Three passenger were killed and 43 injured during the evacuation. Electrical short.,
2010s,01/09/2011,Nighttime,19:45,Iran,"Orumiyeh, Iran",Iran Air,277,Direct,Tehran - Orumiyeh,Boeing B-727-286,EP-IRP ,20945/1048,105,93,12,77,65,12,0,Weather Conditions,The accident happened after the plane was unable to land because of poor weather conditions and was attempting a go-around. The aircraft crashed 5 miles from the Orumiyeh airport in a snowy field..,
2010s,02/10/2011,Daytime,9:45,Ireland,"Cork, Ireland",Manx2,7100,Direct,Belfast - Cork,Swearingen SA-227BC Metro III,EC-ITP ,BC-789B,12,10,2,6,4,2,0,Pilot Error,"The Metroliner made an approach to Runway 17 in low visibility and the crew decided to go-around. A second attempt to land on Runway 35 was also unsuccessful and resulted in another go-around. During a third landing attempt on Runway 17, the aircraft crashed adjacent to Taxiway C and came to rest upside down. A fire soon erupted. Four passenger and both crew members were killed. Improper crew coordination and procedures led to loss of control of the aircraft. A contributing factor was inadequate maintenance causing the two engines to develop unequal thrust.",
2010s,02/14/2011,Daytime,8:02,Honduras,"Near Santa Ana Francisco Morazan, Honduras",Central American Airways,731,Direct,San Pedro Sula - Tegucigalpa,Let L-410 UVPE-20,HR-AUQ ,912603,14,12,2,14,12,2,0,Weather Conditions,"The small airlilner crashed into a hill at an elevation of 2,000 feet while on approach in poor visibility. Windshear.",
2010s,04/04/2011,Daytime,13:30,Congo,"Kinshasa, Congo",United Nations,834,Direct,Kisangani - Kinshasa,Canadair CL-600 CRJ-100ER,4L-GAE ,7070,33,29,4,32,28,4,0,Pilot Error,"The plane operated on behalf of the United Nations Organization Stabilization Mission and was leased from Geogian Airways. While attempting to land in rain, thunderstorms and strong winds at Kinshasa, the plane missed the runway and crashed. Twenty eight passengers and crew of 4 were killed. One passenger survived. he inappropriate decision of the crew to continue the approach, in face of extremely inclement weather being displayed on their weather radar. Lack of adequate supervision by the Operator to ensure that its crew complied with established procedures including weather avoidance procedures and stabilized approach criteria.",
2010s,05/18/2011,Nighttime,20:53,Argentina,"Near Prahuaniyeu, Argentina",SOL Lineas Aereas,5428,Direct,Neuquen - Comodoro Rivadavia,Saab 340A,LV-CEJ,25,22,19,3,22,19,3,0,Pilot Error,"The domestic scheduled passenger flight crashed 12.5 miles north of Prahuaniyeu while en route, after transmitting a distress call. All 19 passengers and crew of three aboard were killed. Inadequate flight planning. Inadequate operational decision making on the part of the pilot. Loss of situational awareness from the flight crew.",
2010s,06/20/2011,Nighttime,23:40,Russia,"Petrozavodsk, Russia",RusAir Airlines,7R-243,Direct,Moscow - Petrozavodsk,Tupolev Tu-134,RA-65691,63195/5703,52,43,9,47,39,8,0,Pilot Error,"The airliner crashed while on final to Petrozavodsk in heavy fog, landing 1 kilometers short of the runway. The plane soon broke up and caught on fire. Factors in the accident: heavy fog. The crew could not see the runway's ground lights, but did not decide to turn away and make another attempt at landing. The plane hit nearby trees before crashing. Cooperation among the crew during the landing attempt was poor, with the pilot subordinating himself to the navigator and the co-pilot effectively excluded from decisions. The navigator was intoxicated.",
2010s,07/08/2011,Daytime,15:00,Congo,"Kisangani, Congo",Hewa Bora Airways,952,Direct,Kinshasa - Kisangani,Boeing B-727-100,9Q-COP,18933,115,108,7,77,72,5,0,Weather Conditions,"The airliner crashed and broke up after missing the runway while attempting to land at Bangoka International Airport. There was heavy rain, thunderstorms and limited visibility at the time of the accident.",
2010s,07/11/2011,Daytime,11:55,Russia,"Near Strezhevoy, Russia",Angara Airlines,5007,Direct,Tomsk - Surgut,Antonov An-24RV,RA-47302,57310302,37,33,4,7,7,0,0,Pilot Error,"After reporting an engine fire in the left engine, the pilot attempted to make an emergency landing at Strezhevoy but ditched into the Orb River. Both pilots were not certified to fly. The captain's license was revoled and the first officer had not finished his requalification exam.",
2010s,07/13/2011,Daytime,11:53,Brazil,"Recife, Brazil",NOAR Linhas Aéreas,SP-5007,Direct,Recife - Natal,Let L-401UVP-20,PR-NOB,2722,16,14,2,16,14,2,0,Pilot Error,"The regional airliner had taken off from Runway 18 after which the pilot reported that he wanted to return for an emergency landing. He then stated he was attempting a forced landing on the beach of Boa Viagem but instead the plane crashed into a vacant lot and burst into flames near the beach, 1.2 miles from the runway threshold.",
2010s,07/28/2011,Nighttime,4:12,South Korea,"Off Jeju, South Korean",Asiana Airlines,991,Direct,Seoul - Shanghai,Boeing B-747-48EF,HL-7604,29907/1370,2,0,2,2,0,2,0,Mechanical Failure,"The cargo plane crashed into the sea about 70 miles west of Jeju after the crew reported a fire in a cargo hold. The plane was carrying 58 tons of electronic and machine parts, including lithium batteries.",
2010s,08/09/2011,Daytime,14:34,Russia,"Near Omsukchan, Russia",Avis Amur, LN-9209,Direct,Magdan - Keperveem,Antonov 12,RA-11125,3341006,11,2,9,11,2,9,0,Mechanical Failure,"After leaving Magdan the crew of the cargo plane reported a fuel leak and an engine fire. While trying to return to Magdan, the plane crashed 6 miels from Omsukchan, 190 miles from its original take-off point. The plane carried 18 tons of cargo.",
2010s,08/20/2011,Daytime,12:50,Canada,"Resolute Bay, Nunavut, Canada",First Air,6560,Direct,Yellowknife - Resolute Bay,Boeing B-737-210C(A) Combi,C-GNWN,21067/414,15,11,4,12,8,4,0,Pilot Error,"While on instrument approach and initiating a go-around, the plane hit a hill side 2km east of the runway and broke up into 3 pieces.The crew had initiated the go-around 2 seconds before impact. The late initiation and subsequent management of the descent resulted in the aircraft turning onto final approach 600 feet above the glideslope, increasing the crew’s workload and reducing their capacity to assess and resolve the navigational issues during the remainder of the approach.",
2010s,09/06/2011,Nighttime,18:50,Bolivia,"Near Trinidad, Bolivia",Aerocon,A4-238,Direct,"Santa Cruz - Trinidad, Bolivia",Swearingen SA-227BC Metroliner III,CP-2548,BC-768B,9,7,2,8,6,2,0,Unknow,"The plane crashed into the jungle while on approach to Runway 14 at Trinidad Airport. After the crew reported they were turning into the final approach, radio contact was lost. The plane was found 2 days later, 10 km from the airport. One passenger survived.",
